# X values | Y values
0.000000000000000000e+00 | 2.887649166161650793e+00
1.000000000000000000e+00 | 5.968144134635675613e+00
2.000000000000000000e+00 | 4.856195632921217253e+00
3.000000000000000000e+00 | 4.128181409700868443e+00
4.000000000000000000e+00 | 4.992122620900560470e+00
5.000000000000000000e+00 | 5.642396617225720945e+00
6.000000000000000000e+00 | 7.252630622846790942e+00
7.000000000000000000e+00 | 3.758204031520656851e+00
8.000000000000000000e+00 | 6.562888932575649648e+00
9.000000000000000000e+00 | 5.187821808793568579e+00
1.000000000000000000e+01 | 7.223050904251856252e+00
1.100000000000000000e+01 | 4.995964420684106955e+00
1.200000000000000000e+01 | 6.376218822883200410e+00
1.300000000000000000e+01 | 6.727365087236810481e+00
1.400000000000000000e+01 | 4.399533799464584227e+00
1.500000000000000000e+01 | 5.089589145997955200e+00
1.600000000000000000e+01 | 4.437986152234568493e+00
1.700000000000000000e+01 | 7.404710328552823739e+00
1.800000000000000000e+01 | 6.651980715910653430e+00
1.900000000000000000e+01 | 5.636516359586520863e+00
2.000000000000000000e+01 | 6.643260726775602976e+00
2.100000000000000000e+01 | 5.355527176785271237e+00
2.200000000000000000e+01 | 4.132454428713378647e+00
2.300000000000000000e+01 | 6.849482469987981936e+00
2.400000000000000000e+01 | 3.693288969250482889e+00
2.500000000000000000e+01 | 4.198005311051484334e+00
2.600000000000000000e+01 | 5.123267267424129301e+00
2.700000000000000000e+01 | 4.216694672025765200e+00
2.800000000000000000e+01 | 6.876743309718719388e+00
2.900000000000000000e+01 | 5.940001491249677912e+00
3.000000000000000000e+01 | 6.122612459388466100e+00
3.100000000000000000e+01 | 6.285416332034670539e+00
3.200000000000000000e+01 | 6.547701934027553961e+00
3.300000000000000000e+01 | 4.881786676469978659e+00
3.400000000000000000e+01 | 3.246725091500734184e+00
3.500000000000000000e+01 | 2.984766906777231998e+00
3.600000000000000000e+01 | 6.867240539910518748e+00
3.700000000000000000e+01 | 3.543590412983165017e+00
3.800000000000000000e+01 | 6.972878225481242254e+00
3.900000000000000000e+01 | 7.552984307223692184e+00
4.000000000000000000e+01 | 4.867318722144093890e+00
4.100000000000000000e+01 | 5.997982151131307837e+00
4.200000000000000000e+01 | 5.036348328673229346e+00
4.300000000000000000e+01 | 5.927190400546329840e+00
4.400000000000000000e+01 | 4.587624104558194915e+00
4.500000000000000000e+01 | 3.041756887990754166e+00
4.600000000000000000e+01 | 7.129980916910184874e+00
4.700000000000000000e+01 | 7.083037725184314404e+00
4.800000000000000000e+01 | 5.824488650204926010e+00
4.900000000000000000e+01 | 3.521351309659433770e+00
5.000000000000000000e+01 | 3.471192484614041174e+00
5.100000000000000000e+01 | 7.261085865423988039e+00
5.200000000000000000e+01 | 5.878232336273023328e+00
5.300000000000000000e+01 | 7.082656722054884391e+00
5.400000000000000000e+01 | 3.575459828781241800e+00
5.500000000000000000e+01 | 5.284016643609544595e+00
5.600000000000000000e+01 | 7.578902513051538392e+00
5.700000000000000000e+01 | 3.085848966021708772e+00
5.800000000000000000e+01 | 6.409408837185700314e+00
5.900000000000000000e+01 | 5.091174589298556263e+00
6.000000000000000000e+01 | 4.701516150800001625e+00
6.100000000000000000e+01 | 5.643212272875721247e+00
6.200000000000000000e+01 | 3.094399714025102721e+00
6.300000000000000000e+01 | 6.282182479805928921e+00
6.400000000000000000e+01 | 6.522653956347852500e+00
6.500000000000000000e+01 | 6.568663454675732538e+00
6.600000000000000000e+01 | 6.314689197323682279e+00
6.700000000000000000e+01 | 4.732660711148027666e+00
6.800000000000000000e+01 | 4.883479100476208146e+00
6.900000000000000000e+01 | 6.715479142594835693e+00
7.000000000000000000e+01 | 6.050806575070598825e+00
7.100000000000000000e+01 | 5.513217074559936925e+00
7.200000000000000000e+01 | 3.589263678851659645e+00
7.300000000000000000e+01 | 5.733976121811779514e+00
7.400000000000000000e+01 | 6.225909072251623044e+00
7.500000000000000000e+01 | 4.944625155497202940e+00
7.600000000000000000e+01 | 6.596078607183413212e+00
7.700000000000000000e+01 | 5.472882644834506927e+00
7.800000000000000000e+01 | 5.548642058742836447e+00
7.900000000000000000e+01 | 3.332217167021421567e+00
8.000000000000000000e+01 | 6.209082379159221787e+00
8.100000000000000000e+01 | 6.892424630490998183e+00
8.200000000000000000e+01 | 3.535311088186056772e+00
8.300000000000000000e+01 | 4.096908266625264972e+00
8.400000000000000000e+01 | 6.328169410727724653e+00
8.500000000000000000e+01 | 3.325315616392861884e+00
8.600000000000000000e+01 | 5.386393309377481842e+00
8.700000000000000000e+01 | 5.243153929479847264e+00
8.800000000000000000e+01 | 7.631439706804875378e+00
8.900000000000000000e+01 | 3.297510094694433569e+00
9.000000000000000000e+01 | 3.724782676562104378e+00
9.100000000000000000e+01 | 6.192282319865670459e+00
9.200000000000000000e+01 | 6.910278471617364637e+00
9.300000000000000000e+01 | 7.649290008432862997e+00
9.400000000000000000e+01 | 6.929160562952542790e+00
9.500000000000000000e+01 | 5.295545787572412344e+00
9.600000000000000000e+01 | 5.282403857165192562e+00
9.700000000000000000e+01 | 7.415387091010791742e+00
9.800000000000000000e+01 | 6.283551695542612947e+00
9.900000000000000000e+01 | 6.941976642405093045e+00
1.000000000000000000e+02 | 7.250686764726339106e+00
1.010000000000000000e+02 | 3.293009207724350240e+00
1.020000000000000000e+02 | 3.730818027092333899e+00
1.030000000000000000e+02 | 3.274952609859704378e+00
1.040000000000000000e+02 | 5.127980927592274085e+00
1.050000000000000000e+02 | 6.998767473959492058e+00
1.060000000000000000e+02 | 6.650631105001359344e+00
1.070000000000000000e+02 | 3.435055694967926954e+00
1.080000000000000000e+02 | 4.755073224319235514e+00
1.090000000000000000e+02 | 3.460282826546231316e+00
1.100000000000000000e+02 | 4.691711551800008095e+00
1.110000000000000000e+02 | 7.887523551648702558e+00
1.120000000000000000e+02 | 3.681664349175107986e+00
1.130000000000000000e+02 | 7.307252380732772501e+00
1.140000000000000000e+02 | 4.872296644969312140e+00
1.150000000000000000e+02 | 6.079361623413680249e+00
1.160000000000000000e+02 | 6.548675340339897843e+00
1.170000000000000000e+02 | 3.855697393412983232e+00
1.180000000000000000e+02 | 7.584611735019977985e+00
1.190000000000000000e+02 | 5.780132925169663594e+00
1.200000000000000000e+02 | 6.657016291726844059e+00
1.210000000000000000e+02 | 6.200230058736401872e+00
1.220000000000000000e+02 | 7.726944663316529294e+00
1.230000000000000000e+02 | 7.913824970997088037e+00
1.240000000000000000e+02 | 5.310073165694494612e+00
1.250000000000000000e+02 | 6.176772141435234786e+00
1.260000000000000000e+02 | 3.628274350354730782e+00
1.270000000000000000e+02 | 7.222006329652943535e+00
1.280000000000000000e+02 | 6.638420345014976576e+00
1.290000000000000000e+02 | 6.858407214613478686e+00
1.300000000000000000e+02 | 7.239461665118666289e+00
1.310000000000000000e+02 | 5.964023528619323500e+00
1.320000000000000000e+02 | 6.120308481569319170e+00
1.330000000000000000e+02 | 4.527274627903652870e+00
1.340000000000000000e+02 | 6.952911276931727613e+00
1.350000000000000000e+02 | 4.986220104704958800e+00
1.360000000000000000e+02 | 7.713168949791525009e+00
1.370000000000000000e+02 | 4.987549512503097304e+00
1.380000000000000000e+02 | 5.604470775994850662e+00
1.390000000000000000e+02 | 6.364262031452586399e+00
1.400000000000000000e+02 | 8.064325406339884594e+00
1.410000000000000000e+02 | 6.284148728585110533e+00
1.420000000000000000e+02 | 5.819581543641099586e+00
1.430000000000000000e+02 | 5.550420047302237592e+00
1.440000000000000000e+02 | 3.692017481963189240e+00
1.450000000000000000e+02 | 3.804709301183679671e+00
1.460000000000000000e+02 | 7.007913117541914261e+00
1.470000000000000000e+02 | 4.137780866074233899e+00
1.480000000000000000e+02 | 5.966147992598893168e+00
1.490000000000000000e+02 | 6.320759525232390708e+00
1.500000000000000000e+02 | 3.921421418137470027e+00
1.510000000000000000e+02 | 6.239559292214492459e+00
1.520000000000000000e+02 | 7.052680925383423727e+00
1.530000000000000000e+02 | 6.189039656568548153e+00
1.540000000000000000e+02 | 8.221887861003237319e+00
