# X values | Y values
0.000000000000000000e+00 | 4.313706723270668952e+00
1.000000000000000000e+00 | 4.812734367095136356e+00
2.000000000000000000e+00 | 2.401069624040647277e+00
3.000000000000000000e+00 | 3.965729424873126518e+00
4.000000000000000000e+00 | 2.282490750568880067e+00
5.000000000000000000e+00 | 7.786501566408361441e+00
6.000000000000000000e+00 | 2.685292711879188943e+00
7.000000000000000000e+00 | 4.752337411128046085e+00
8.000000000000000000e+00 | 3.184116619008512838e+00
9.000000000000000000e+00 | 7.779515994367349307e+00
1.000000000000000000e+01 | 4.694304670490976328e+00
1.100000000000000000e+01 | 6.122574491391962859e+00
1.200000000000000000e+01 | 7.254602070874719644e+00
1.300000000000000000e+01 | 3.477900078184070765e+00
1.400000000000000000e+01 | 6.863662237043431702e+00
1.500000000000000000e+01 | 2.450558902121779070e+00
1.600000000000000000e+01 | 2.692105890250137357e+00
1.700000000000000000e+01 | 6.096073751223470616e+00
1.800000000000000000e+01 | 2.466935045046641850e+00
1.900000000000000000e+01 | 5.171449713360329881e+00
2.000000000000000000e+01 | 7.407644455394296834e+00
2.100000000000000000e+01 | 2.766208627892617233e+00
2.200000000000000000e+01 | 3.083302039319129495e+00
2.300000000000000000e+01 | 4.629157416405243808e+00
2.400000000000000000e+01 | 7.262552591068470953e+00
2.500000000000000000e+01 | 4.708896868285552983e+00
2.600000000000000000e+01 | 5.562389358595980049e+00
2.700000000000000000e+01 | 3.240206469613350571e+00
2.800000000000000000e+01 | 3.371154253840656256e+00
2.900000000000000000e+01 | 6.337839667833093493e+00
3.000000000000000000e+01 | 5.688039869735805887e+00
3.100000000000000000e+01 | 2.370995735392082082e+00
3.200000000000000000e+01 | 7.990938009750999882e+00
3.300000000000000000e+01 | 7.236456829046849393e+00
3.400000000000000000e+01 | 7.888141295272600217e+00
3.500000000000000000e+01 | 3.090886158812296891e+00
3.600000000000000000e+01 | 2.027725374272602465e+00
3.700000000000000000e+01 | 2.896790342949633779e+00
3.800000000000000000e+01 | 3.897265330103157233e+00
3.900000000000000000e+01 | 5.844622092453077400e+00
4.000000000000000000e+01 | 6.343234645838421670e+00
4.100000000000000000e+01 | 4.682017253857206462e+00
4.200000000000000000e+01 | 7.241888248420062624e+00
4.300000000000000000e+01 | 7.034560449546275684e+00
4.400000000000000000e+01 | 6.036123661365179416e+00
4.500000000000000000e+01 | 3.621461956731123699e+00
