time	biomass
0	12.4
0.1	12.62
0.2	13.64
0.3	12.11
0.4	12.96
0.5	10.75
0.6	12.3
0.7	12.06
0.8	12.18
0.9	11.9
1	11.11
1.1	12.43
1.2	11.57
1.3	12.5
1.4	13
1.5	13.36
1.6	12.75
1.7	13.78
1.8	12.08
1.9	13.58
2	13.54
2.1	14.32
2.2	13.85
2.3	14.6
2.4	11.47
2.5	11.17
2.6	14.11
2.7	11.85
2.8	12.8
2.9	12.27
3	12.99
3.1	11.79
3.2	12.13
3.3	13
3.4	13.91
3.5	12.13
3.6	14.9
3.7	14.75
3.8	15.87
3.9	13.08
4	14.45
4.1	15.63
4.2	11.26
4.3	14.79
4.4	14.31
4.5	17
4.6	15.28
4.7	17.07
4.8	16.49
4.9	15.78
5	14.31
5.1	14.55
5.2	17.53
5.3	16.78
5.4	17.65
5.5	17.51
5.6	16.08
5.7	13.8
5.8	17.27
5.9	17.25
6	18.27
6.1	16.69
6.2	15.76
6.3	17.58
6.4	16.3
6.5	17.51
6.6	16.14
6.7	16.68
6.8	15.06
6.9	18.52
7	21.33
7.1	16.89
7.2	16.81
7.3	16.96
7.4	20.86
7.5	17.15
7.6	23.78
7.7	18.84
7.8	20.7
7.9	19
8	22.24
8.1	17.26
8.2	19.79
8.3	20.66
8.4	18.35
8.5	23.49
8.6	24.27
8.7	27.74
8.8	21.74
8.9	19.56
9	23.36
9.1	25.32
9.2	24.79
9.3	19.94
9.4	24.19
9.5	26.85
9.6	27.37
9.7	21.72
9.8	26.41
9.9	20.02
10	24.88
10.1	22.46
10.2	26.98
10.3	23.54
10.4	26.46
10.5	23.93
10.6	23.52
10.7	25.86
10.8	24.76
10.9	27.95
11	29.08
11.1	28.08
11.2	25.95
11.3	29.71
11.4	32.37
11.5	30.71
11.6	38.34
11.7	31.89
11.8	23.06
11.9	34.19
12	30.17
12.1	38.26
12.2	32.97
12.3	36.27
12.4	30.87
12.5	29.44
12.6	35.08
12.7	39.08
12.8	38.37
12.9	36.25
13	31.33
13.1	34.98
13.2	35.75
13.3	46.79
13.4	46.84
13.5	36.51
13.6	41.51
13.7	36.38
13.8	40.86
13.9	49.83
14	46.77
14.1	46.07
14.2	51.06
14.3	36.58
14.4	51.64
14.5	48.63
14.6	54.93
14.7	50.79
14.8	41.99
14.9	57.56
15	51.51
15.1	45.97
15.2	72.81
15.3	67.21
15.4	49.72
15.5	58.15
15.6	68.07
15.7	63.88
15.8	60.58
15.9	64.83
16	54.52
16.1	61.16
16.2	64.52
16.3	57.88
16.4	74.01
16.5	76.94
16.6	59.52
16.7	85.39
16.8	64.85
16.9	66.1
17	76.13
17.1	61.04
17.2	95.56
17.3	82.19
17.4	52.49
17.5	71.77
17.6	73.72
17.7	84.68
17.8	85.25
17.9	111.82
18	72.65
